Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C5, C8, C9",0603,5,2.2uF,
"C10, C11, C16, C17, C22, C6, C7",0402,7,0.1uF,
"C12, C13",0805,2,10uF,
C14,0402,1,10nF,
C15,1206,1,47uF,
"C18, C23, C28",0603,3,4.7uF,
"C19, C20, C21, C24, C25, C26, C27, C29, C30",0402,9,0.47uF,
"C2, C3",0402,2,100nF,
J1,MOLEX_87832-1420,1,87832-1420,
R1,2512,1,"2.2, 1%",
R10,0402,1,2.4k,
"R11, R12, R13, R6, R8",0402,5,4.7k,
R14,0402,1,10k,
"R15, R3, R4, R5, R7",0402,5,1k,
R16,0402,1,"8.66k, 0.1%",
R17,0402,1,499,
R18,0805,1,10k,
R2,2512,1,"1.5, 1%",
R9,2512,1,"1, 1%",
U1,CW308_TARGET,1,CW308_TARGET,
U2,BGA625C80P25X25_2100X2100X192,1,XCSU35P-2SBVB625E,
U3,TSSOP-16_4.4x5mm_P0.65mm,1,SN74AVC4T245PW,
U4,MSOP-12-1EP_3x4.039mm_P0.65mm_EP1.651x2.845mm,1,LT3045xMSE,
