Designator,Mid X,Mid Y,Rotation,Layer
C1,21.775,63.0,180.0,top
C10,30.2,19.8,90.0,top
C11,13.52,37.8,0.0,top
C12,39.6,50.8,180.0,top
C13,37.0,56.6,270.0,top
C14,42.2,59.2,90.0,top
C15,40.0,39.2,0.0,top
C16,13.5,51.5,0.0,top
C17,8.52,51.5,0.0,top
C18,39.2,35.2,0.0,top
C19,38.6,43.2,0.0,top
C2,31.74,62.0,270.0,top
C20,38.6,32.8,0.0,top
C21,38.6,22.0,0.0,top
C22,13.6,39.8,180.0,top
C23,28.4,19.2,270.0,top
C24,13.6,42.6,180.0,top
C25,36.6,19.8,270.0,top
C26,26.0,19.8,270.0,top
C27,15.6,19.8,270.0,top
C28,13.0,35.4,180.0,top
C29,13.6,33.2,180.0,top
C3,30.74,62.0,270.0,top
C30,13.6,22.0,180.0,top
C8,13.025,27.4,0.0,top
C9,39.175,30.0,180.0,top
J1,13.0,9.0,0.0,top
JP1,28.6425,61.135102,305.0,top
JP2,26.1,61.0,270.0,top
JP3,23.6,61.2,235.0,top
R1,30.0,55.0,270.0,top
R10,37.1,44.8,270.0,top
R11,34.4,44.8,270.0,top
R12,15.1,44.8,270.0,top
R13,17.4,44.8,270.0,top
R14,6.348825,55.727154,0.0,top
R15,38.6,33.8,180.0,top
R16,41.2,59.2,90.0,top
R17,42.0,50.89,270.0,top
R18,35.0,56.6,270.0,top
R2,26.1,55.0375,270.0,top
R3,24.7,44.8,270.0,top
R4,22.2,44.8,270.0,top
R5,19.8,44.8,270.0,top
R6,29.3,44.8,270.0,top
R7,31.8,44.8,270.0,top
R8,27.0,44.8,270.0,top
R9,22.2,55.0,270.0,top
U1,0.0,64.52,0.0,top
U2,26.1,32.26,0.0,top
U3,11.1375,54.775,90.0,top
U4,40.375,55.05,0.0,top
